"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","alreadycontact","previous","poutcome","priceidx","confidx","euribor3m","y"
"1185","[18.0,41.3)","admin.","divorced","university.degree","no","yes","yes","cellular","aug","wed",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3247","[18.0,41.3)","technician","married","professional.course","no","no","no","cellular","apr","mon",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","yes"
"1684","[18.0,41.3)","services","married","unknown","no","yes","no","telephone","may","wed",4,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3635","[18.0,41.3)","admin.","single","university.degree","no","yes","yes","telephone","aug","tue",2,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"3871","[18.0,41.3)","admin.","single","university.degree","no","no","no","cellular","jun","fri",2,0,0,"nonexistent","[92.2,93.1)","[-41.2,-36.5)","[0.635,2.840)","no"
"188","[41.3,64.7)","admin.","single","unknown","unknown","no","no","telephone","may","thu",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2173","[18.0,41.3)","admin.","single","university.degree","no","yes","yes","cellular","apr","thu",1,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"3670","[41.3,64.7)","self-employed","divorced","university.degree","no","no","no","cellular","jul","mon",3,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2267","[18.0,41.3)","admin.","single","university.degree","no","no","no","cellular","aug","mon",4,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1877","[18.0,41.3)","admin.","single","university.degree","no","no","no","telephone","jun","thu",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3932","[41.3,64.7)","retired","divorced","illiterate","no","no","no","cellular","aug","wed",4,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"1863","[18.0,41.3)","technician","single","professional.course","no","yes","no","cellular","may","wed",1,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2783","[41.3,64.7)","blue-collar","married","basic.4y","unknown","no","no","cellular","jun","wed",1,0,1,"failure","[92.2,93.1)","[-41.2,-36.5)","[0.635,2.840)","yes"
"2352","[18.0,41.3)","blue-collar","married","basic.9y","no","yes","no","telephone","may","mon",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"423","[41.3,64.7)","blue-collar","married","basic.4y","unknown","no","no","telephone","jun","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3693","[41.3,64.7)","admin.","married","high.school","no","yes","no","cellular","nov","thu",1,0,1,"failure","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"1010","[41.3,64.7)","services","divorced","high.school","unknown","no","no","telephone","may","thu",5,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"173","[18.0,41.3)","admin.","married","high.school","no","no","no","telephone","may","wed",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1345","[41.3,64.7)","technician","married","professional.course","no","yes","no","cellular","jul","fri",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3914","[41.3,64.7)","technician","married","university.degree","no","yes","no","telephone","may","fri",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3647","[41.3,64.7)","blue-collar","married","basic.9y","unknown","yes","no","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2840","[41.3,64.7)","admin.","divorced","university.degree","no","no","no","cellular","may","tue",3,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","yes"
"2625","[18.0,41.3)","blue-collar","single","unknown","no","no","no","cellular","mar","fri",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","no"
"4073","[41.3,64.7)","admin.","married","university.degree","no","yes","no","cellular","may","mon",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","yes"
"2686","[18.0,41.3)","technician","married","basic.6y","no","yes","no","telephone","nov","thu",8,0,1,"failure","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"2901","[18.0,41.3)","admin.","divorced","university.degree","unknown","yes","no","cellular","may","mon",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","yes"
"2227","[18.0,41.3)","admin.","married","university.degree","unknown","no","yes","telephone","may","mon",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2432","[18.0,41.3)","technician","single","university.degree","no","yes","no","cellular","may","mon",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
